股票代码,股票名称,情绪分,打星评级,趋势预测,操作建议,置信度,分析摘要,新闻摘要,政策影响,风险提示,操作理由,使用模型,分析成功,错误信息
600378,昊华科技,75.0,3,弱势多头,买入,中,,,,,,,False,
600552,凯盛科技,66.75,2,弱势多头,观望,中,,,,,,,False,
601311,骆驼股份,75.0,3,弱势空头,持有,中,,,,,,,False,
603002,宏昌电子,75.0,3,多头排列,买入,中,,,,,,,False,
603222,济民健康,75.0,3,强势多头,买入,中,,,,,,,False,
603230,内蒙新华,74.75,3,多头排列,买入,中,,,,,,,False,
603863,松炀资源,64.75,2,弱势多头,观望,中,,,,,,,False,
002083,孚日股份,72.0,3,弱势空头,观望,中,,,,,,,False,
002213,大为股份,72.0,3,弱势空头,观望,中,,,,,,,False,
003007,直真科技,75.0,3,强势多头,买入,中,,,,,,,False,
